"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000100804",2079.08286826384,0.0712300062726128,0.217754521553235,0.327111491254151,0.743583560746021,0.999990448165512,"PSMB5"
"ENSG00000279656",13.7831356922115,0.226413685963939,0.76459603676571,0.296121971703755,0.767136935068334,0.999990448165512,NA
"ENSG00000179933",742.561638071194,0.031459807934992,0.231551220445968,0.135865437782622,0.891927658717968,0.999990448165512,"C14orf119"
"ENSG00000283654",2.4920308932183,-0.610128630046275,1.82571040835282,-0.334186970318442,0.738238475537525,0.999990448165512,"CIROP"
"ENSG00000235194",129.290878673899,-0.12440570700608,0.325117796545836,-0.382648099635914,0.701980701232739,0.999990448165512,"PPP1R3E"
"ENSG00000157306",31.7924584760156,0.506833402292111,0.534236163177623,0.948706653023037,0.342769829351846,0.999990448165512,NA
"ENSG00000273618",3.92767735766322,0.118867093888683,1.36140601771855,0.0873120085717569,0.93042350901509,0.999990448165512,NA
"ENSG00000259431",95.990437977719,-0.058396378141989,0.354094294599761,-0.164917591253469,0.869008846169848,0.999990448165512,"THTPA"
"ENSG00000213983",1331.86718086356,-0.0575111354308428,0.229151672624072,-0.250974102751548,0.801834131517832,0.999990448165512,"AP1G2"
"ENSG00000258727",30.1961384415652,0.00167447201984244,0.567533964408536,0.00295043490760508,0.997645896955006,0.999990448165512,"AP1G2-AS1"
"ENSG00000157326",180.287994605209,-0.117750128454968,0.294709001423987,-0.39954710540234,0.68949012209869,0.999990448165512,"DHRS4"
"ENSG00000100604",4.22391147137853,1.39377688862895,1.4055698873708,0.991609809766269,0.321387902081998,0.999990448165512,"CHGA"
"ENSG00000100605",2851.99486927322,0.0206780510532509,0.23552069050106,0.0877971740370634,0.930037883884723,0.999990448165512,"ITPK1"
"ENSG00000258730",5.47337602299593,0.901874619813131,1.20720989807407,0.747073579542332,0.45501914732525,0.999990448165512,"ITPK1-AS1"
"ENSG00000165943",1027.49120100546,0.000578963404581822,0.226327460918648,0.00255807846839199,0.997958950910772,0.999990448165512,"MOAP1"
"ENSG00000153485",120.536665965914,-0.0575898934326766,0.352184997043963,-0.163521711362076,0.870107680023448,0.999990448165512,"LYSET"
"ENSG00000259066",1.68796585094742,0.531008046335786,2.04125851416599,0.260137578190455,0.794757652254779,0.999990448165512,NA
"ENSG00000170270",144.730697903951,-0.0746795467180768,0.308457828129775,-0.242106180837977,0.808697889039021,0.999990448165512,"GON7"
"ENSG00000012963",922.801450767448,-0.0187644017779944,0.235361036692339,-0.0797260329989244,0.936455154014573,0.999990448165512,"UBR7"
"ENSG00000240096",2.34931013137328,-0.464024648045252,1.76280312223816,-0.263231124446897,0.792372442627034,0.999990448165512,"RPL18AP1"
"ENSG00000100601",213.659047205876,0.130426076710582,0.31491494812606,0.414162863613489,0.678754836806474,0.999990448165512,"ALKBH1"
"ENSG00000239272",2.69245450720355,0.137520281683669,1.57727759956032,0.0871883818815429,0.930521774103484,0.999990448165512,"RPL21P10"
"ENSG00000258917",1.96845195699437,0.879312891584908,2.05737630425662,0.427395265399746,0.669091455338475,0.999990448165512,NA
"ENSG00000119705",727.851270327164,0.107398891180187,0.324563307253788,0.330902750803583,0.740717944076951,0.999990448165512,"SLIRP"
"ENSG00000063761",93.1386387006011,-0.0217787842712216,0.344610460903652,-0.0631982680215578,0.949608623943087,0.999990448165512,"ADCK1"
"ENSG00000259113",1.48691670118181,-1.86706770292222,2.26078749942818,-0.825848383978793,0.408890103600128,0.999990448165512,NA
"ENSG00000151748",4679.00317223807,-0.0327316750237214,0.216452308017569,-0.151218877375355,0.879803059538706,0.999990448165512,"SAV1"
"ENSG00000243103",1.92517487252642,-1.46428755398615,2.34526564897024,-0.624358931206403,0.532391889882292,0.999990448165512,"RN7SL452P"
"ENSG00000269906",70.2077700896761,0.290005956749668,0.397246255452516,0.73004075625411,0.465365272515624,0.999990448165512,NA
"ENSG00000258491",2.16853006891204,0.859638309959287,1.86435517616465,0.461091492087756,0.644732965477453,0.999990448165512,NA
"ENSG00000270062",13.702108180673,0.377547019590137,0.767019628072682,0.492226021045658,0.622559571324626,0.999990448165512,NA
"ENSG00000100504",2362.02711126727,-0.0755919229608232,0.240149174489757,-0.31477069667815,0.75293576223672,0.999990448165512,"PYGL"
"ENSG00000131969",18.6425120349037,0.0844335401785763,0.669694195511369,0.126077754211538,0.899670376507338,0.999990448165512,"ABHD12B"
"ENSG00000258745",3.61073996696307,-0.390999068507434,1.68067042973347,-0.232644700347015,0.816037313649218,0.999990448165512,NA
"ENSG00000258711",43.6093254402878,-0.288813082157523,0.516406282691835,-0.559274919453046,0.575974109411344,0.999990448165512,NA
"ENSG00000119689",3103.58948484064,-0.00122848686966683,0.213689047044856,-0.00574894636227635,0.995413029723525,0.999990448165512,"DLST"
"ENSG00000198208",256.411045244954,0.385425914958837,0.304898199897548,1.26411344864728,0.206189310214653,0.999990448165512,"RPS6KL1"
"ENSG00000119630",12.5160703790496,-0.529046921187714,0.828615767983792,-0.638470738343543,0.523167296200102,0.999990448165512,"PGF"
"ENSG00000119718",583.543634186187,0.121723647474743,0.262653796829827,0.463437608532298,0.643050726561677,0.999990448165512,"EIF2B2"
"ENSG00000258646",3.19312019095877,0.104020805878304,1.70189341602551,0.0611206347582137,0.951263135711289,0.999990448165512,NA
"ENSG00000279594",4.95533557551472,-1.28633119650565,1.23600330751626,-1.04071824782615,0.298006331653116,0.999990448165512,NA
"ENSG00000119684",824.961101632902,-0.0942436050623187,0.261154456436805,-0.360873049413667,0.718194351366755,0.999990448165512,"MLH3"
"ENSG00000119640",122.315644775292,0.357577561797362,0.325966363924549,1.09697687053419,0.272651503103131,0.999990448165512,"ACYP1"
"ENSG00000119703",91.4904352062483,0.16920948667766,0.353847203178563,0.478199305117217,0.632508357060168,0.999990448165512,"ZC2HC1C"
"ENSG00000259138",3.114982248216,0.319014450298618,1.58057218393454,0.201834787136701,0.840045884969528,0.999990448165512,NA
"ENSG00000170348",5171.08192646922,0.00468981579514997,0.253069297904194,0.0185317453914359,0.985214652750047,0.999990448165512,"TMED10"
